Are you sure you want to relax end points while keeping the intermediate inages from your traj?
      Step     Time          Energy          fmax
BFGS:    0 17:41:57     -257.541883        0.054308
BFGS:    1 17:41:57      -82.989384        0.121692
BFGS:    2 17:41:57     -257.542072        0.047927
BFGS:    3 17:41:57     -245.795423        0.170293
BFGS:    4 17:41:57     -245.797749        0.14981Are you sure you want to relax end points while keeping the intermediate inages from your traj?
      Step     Time          Energy          fmax
BFGS:    0 17:42:15     -291.644195        0.088510
BFGS:    1 17:42:15     -291.644840        0.075111
BFGS:    2 17:42:15     -291.646545        0.114291
BFGS:    3 17:42:16     -291.647121        0.118459
BFGS:    4 17:42:16     -291.648308        0.082413
BFGS:    5 17:42:16     -291.649666        0.073851
BFGS:    6 17:42:16     -291.650554        0.100629
BFGS:    7 17:42:16     -291.651695        0.147392
BFGS:    8 17:42:16     -291.653156        0.140025
BFGS:    9 17:42:16     -291.654739        0.105890
BFGS:   10 17:42:16     -291.656074        0.103107
BFGS:   11 17:42:16     -291.657276        0.105056
BFGS:   12 17:42:16     -291.658447        0.107293
BFGS:   13 17:42:17     -291.659435        0.082063
BFGS:   14 17:42:17     -291.660354        0.069588
BFGS:   15 17:42:17     -291.661335        0.084334
BFGS:   16 17:42:17     -291.662483        0.107952
BFGS:   17 17:42:17     -291.663578        0.085088
BFGS:   18 17:42:17     -291.664467        0.075216
BFGS:   19 17:42:17     -291.665287        0.076817
BFGS:   20 17:42:17     -291.666336        0.111533
BFGS:   21 17:42:17     -291.667881        0.134569
BFGS:   22 17:42:17     -291.669838        0.122450
BFGS:   23 17:42:18     -291.671917        0.127632
BFGS:   24 17:42:18     -291.674015        0.182760
BFGS:   25 17:42:18     -291.676319        0.230851
BFGS:   26 17:42:18     -291.679107        0.229022
BFGS:   27 17:42:18     -291.682197        0.172297
BFGS:   28 17:42:18     -291.685352        0.153000
BFGS:   29 17:42:18     -291.688885        0.234810
BFGS:   30 17:42:18     -291.693630        0.319127
BFGS:   31 17:42:18     -291.699711        0.316353
BFGS:   32 17:42:19     -291.705887        0.209688
BFGS:   33 17:42:19     -291.711883        0.222877
BFGS:   34 17:42:19     -291.717705        0.210507
BFGS:   35 17:42:19     -291.721351        0.244647
BFGS:   36 17:42:19     -291.726318        0.173859
BFGS:   37 17:42:19     -291.729626        0.111984
BFGS:   38 17:42:19     -291.732570        0.135421
BFGS:   39 17:42:19     -291.735752        0.199375
BFGS:   40 17:42:19     -291.741291        0.226564
BFGS:   41 17:42:19     -291.747680        0.221922
BFGS:   42 17:42:20     -291.756630        0.197897
BFGS:   43 17:42:20     -291.767559        0.363026
BFGS:   44 17:42:20     -291.799957        0.532193
BFGS:   45 17:42:20     -291.856071        0.642692
BFGS:   46 17:42:20     -291.925216        0.675743
BFGS:   47Are you sure you want to relax end points while keeping the intermediate inages from your traj?
      Step     Time          Energy          fmax
BFGS:    0 17:45:38     -228.888979        0.141434
BFGS:    1 17:45:39     -228.889284        0.266661
BFGS:    2 17:45:39     -228.890321        0.146231
BFGS:    3 17:45:39     -228.892231        0.087456
BFGS:    4 17:45:39     -228.892519        0.063650
BFGS:    5 17:45:39     -228.893442        0.070007
BFGS:    6 17:45:39     -228.893963        0.084272
BFGS:    7 17:45:39     -228.894525        0.073814
BFGS:    8 17:45:39     -228.895044        0.080863
BFGS:    9 17:45:40     -228.895695        0.067520
BFGS:   10 17:45:40     -228.896250        0.073593
BFGS:   11 17:45:40     -228.896674        0.049593
      Step     Time          Energy          fmax
BFGS:    0 17:45:40     -228.781922        0.114494
BFGS:    1 17:45:40     -228.782473        0.105272
BFGS:    2 17:45:40     -228.785761        0.339734
BFGS:    3 17:45:40     -228.786997        0.060865
BFGS:    4 17:45:40     -228.787377        0.066410
BFGS:    5 17:45:41     -228.789018        0.067260
BFGS:    6 17:45:41     -228.789541        0.080582
BFGS:    7 17:45:41     -228.790122        0.069633
BFGS:    8 17:45:41     -228.790715        0.067788
BFGS:    9 17:45:41     -228.791360        0.063971
BFGS:   10 17:45:41     -228.791831        0.057409
BFGS:   11 17:45:41     -228.792248        0.069747
BFGS:   12 17:45:41     -228.792740        0.058329
BFGS:   13 17:45:42     -228.793272        0.063452
BFGS:   14 17:45:42     -228.793667        0.049677
Are you sure you want to relax end points while keeping the intermediate inages from your traj?
      Step     Time          Energy          fmax
BFGS:    0 17:46:38     -229.645760        0.140450
BFGS:    1 17:46:38     -229.646687        0.133776
BFGS:    2 17:46:38     -229.650532        0.155317
BFGS:    3 17:46:38     -229.651639        0.177169
BFGS:    4 17:46:38     -229.653283        0.122958
BFGS:    5 17:46:38     -229.653822        0.069178
BFGS:    6 17:46:38     -229.654321        0.102234
BFGS:    7 17:46:39     -229.654907        0.119381
BFGS:    8 17:46:39     -229.655720        0.108189
BFGS:    9 17:46:39     -229.656265        0.075985
BFGS:   10 17:46:39     -229.656646        0.058301
BFGS:   11 17:46:39     -229.656989        0.062681
BFGS:   12 17:46:39     -229.657346        0.071532
BFGS:   13 17:46:39     -229.657680        0.075756
BFGS:   14 17:46:39     -229.658030        0.069871
BFGS:   15 17:46:40     -229.658511        0.109526
BFGS:   16 17:46:40     -229.659232        0.140571
BFGS:   17 17:46:40     -229.660092        0.125413
BFGS:   18 17:46:40     -229.660637        0.072934
BFGS:   19 17:46:40     -229.660912        0.052733
BFGS:   20 17:46:40     -229.661176        0.068804
BFGS:   21 17:46:40     -229.661557        0.090531
